process_num, iter_num, probability
1, 6, 0.9998915195465088,
12, 4, 0.9999016523361206,
17, 7, 0.9989293217658997,
14, 6, 0.9997714161872864,
15, 7, 0.9995319843292236,
13, 7, 0.9998881816864014,
16, 6, 0.9998676776885986,
4, 6, 0.99920254945755,
3, 6, 0.9998728036880493,
5, 9, 0.999420166015625,
8, 8, 0.9988466501235962,
7, 8, 0.9998964071273804,
6, 8, 0.9998465776443481,
12, 5, 0.9998823404312134,
11, 7, 0.9998165965080261,
10, 8, 0.9998949766159058,
17, 8, 0.9990070462226868,
15, 8, 0.999819815158844,
13, 8, 0.9996308088302612,
14, 7, 0.9997815489768982,
3, 7, 0.9998311996459961,
5, 10, 0.9998051524162292,
16, 7, 0.9998726844787598,
1, 7, 0.9998914003372192,
4, 7, 0.9991171956062317,
8, 9, 0.9997379183769226,
7, 9, 0.999902606010437,
10, 9, 0.9998886585235596,
15, 9, 0.9985093474388123,
5, 11, 0.9998818635940552,
17, 9, 0.9998685121536255,
13, 9, 0.9998831748962402,
11, 8, 0.9995993971824646,
16, 8, 0.99988853931427,
12, 6, 0.9998949766159058,
4, 8, 0.9991452693939209,
6, 9, 0.9995651841163635,
1, 8, 0.9998924732208252,
8, 10, 0.9997804760932922,
3, 8, 0.9998705387115479,
14, 8, 0.9981479644775391,
7, 10, 0.9996216297149658,
10, 10, 0.9998934268951416,
5, 12, 0.9998829364776611,
15, 10, 0.9998169541358948,
17, 10, 0.9994449019432068,
13, 10, 0.99982088804245,
11, 9, 0.9951038360595703,
16, 9, 0.9998730421066284,
8, 11, 0.9996837377548218,
6, 10, 0.9997077584266663,
4, 9, 0.9997439980506897,
7, 11, 0.9997360110282898,
12, 7, 0.9998998641967773,
14, 9, 0.9997631907463074,
1, 9, 0.999893307685852,
5, 13, 0.9997918009757996,
10, 11, 0.9998911619186401,
13, 11, 0.9998611211776733,
15, 11, 0.9997394680976868,
17, 11, 0.9997937083244324,
3, 9, 0.9998797178268433,
8, 12, 0.999882698059082,
11, 10, 0.9997422099113464,
16, 10, 0.9998912811279297,
6, 11, 0.999849796295166,
7, 12, 0.9999006986618042,
4, 10, 0.9993038177490234,
5, 14, 0.9997914433479309,
14, 10, 0.9997753500938416,
1, 10, 0.9998923540115356,
10, 12, 0.9998537302017212,
13, 12, 0.9998650550842285,
12, 8, 0.9998908042907715,
15, 12, 0.9996697902679443,
8, 13, 0.9996904134750366,
17, 12, 0.9998863935470581,
6, 12, 0.9998270869255066,
3, 10, 0.9998781681060791,
11, 11, 0.9991814494132996,
5, 15, 0.9997578263282776,
16, 11, 0.9998836517333984,
7, 13, 0.9997637867927551,
14, 11, 0.9998223185539246,
10, 13, 0.9998854398727417,
13, 13, 0.9998874664306641,
15, 13, 0.9995885491371155,
1, 11, 0.9997703433036804,
4, 11, 0.999902606010437,
17, 13, 0.999045193195343,
8, 14, 0.9997727274894714,
5, 16, 0.9998093247413635,
12, 9, 0.9998947381973267,
16, 12, 0.999862551689148,
7, 14, 0.9997335076332092,
11, 12, 0.9997379183769226,
6, 13, 0.9997723698616028,
3, 11, 0.9998506307601929,
14, 12, 0.9997096657752991,
10, 14, 0.9998846054077148,
15, 14, 0.9996092915534973,
13, 14, 0.9998937845230103,
4, 12, 0.9984945058822632,
17, 14, 0.9989005327224731,
1, 12, 0.999895453453064,
7, 15, 0.9998319149017334,
11, 13, 0.9998109936714172,
8, 15, 0.9998611211776733,
5, 17, 0.9996542930603027,
10, 15, 0.999870777130127,
16, 13, 0.9998726844787598,
12, 10, 0.9998575448989868,
6, 14, 0.9997431635856628,
14, 13, 0.9997861981391907,
13, 15, 0.9991610050201416,
3, 12, 0.9998887777328491,
17, 15, 0.9996645450592041,
4, 13, 0.9991725087165833,
15, 15, 0.9997615218162537,
5, 18, 0.9998249411582947,
11, 14, 0.999815046787262,
8, 16, 0.9998787641525269,
1, 13, 0.9998915195465088,
10, 16, 0.9998786449432373,
7, 16, 0.9998106360435486,
16, 14, 0.9998703002929688,
12, 11, 0.9998934268951416,
6, 15, 0.9998270869255066,
13, 16, 0.9994122982025146,
14, 14, 0.9997896552085876,
15, 16, 0.9998289346694946,
17, 16, 0.9997726082801819,
5, 19, 0.9997791647911072,
3, 13, 0.9998666048049927,
4, 14, 0.9990874528884888,
10, 17, 0.9998862743377686,
8, 17, 0.9998626708984375,
11, 15, 0.9990509152412415,
12, 12, 0.9997939467430115,
1, 14, 0.9998915195465088,
7, 17, 0.9997555613517761,
6, 16, 0.9987242817878723,
16, 15, 0.999875545501709,
13, 17, 0.999883770942688,
5, 20, 0.9997918009757996,
17, 17, 0.9997844099998474,
4, 15, 0.9993513226509094,
15, 17, 0.9997581839561462,
14, 15, 0.999902606010437,
8, 18, 0.9997569918632507,
3, 14, 0.9998875856399536,
10, 18, 0.9997017979621887,
11, 16, 0.9998809099197388,
12, 13, 0.9998995065689087,
1, 15, 0.9998897314071655,
16, 16, 0.9998724460601807,
13, 18, 0.9998108744621277,
7, 18, 0.999893307685852,
5, 21, 0.9997914433479309,
6, 17, 0.9996252059936523,
17, 18, 0.9998815059661865,
8, 19, 0.9997715353965759,
4, 16, 0.998933732509613,
15, 18, 0.9997952580451965,
11, 17, 0.9998924732208252,
14, 16, 0.9999052286148071,
3, 15, 0.9998824596405029,
10, 19, 0.9998942613601685,
7, 19, 0.9998514652252197,
1, 16, 0.9998900890350342,
13, 19, 0.9998519420623779,
5, 22, 0.9995730519294739,
12, 14, 0.9998974800109863,
16, 17, 0.9998898506164551,
17, 19, 0.999326229095459,
8, 20, 0.9997759461402893,
6, 18, 0.999868631362915,
14, 17, 0.9998518228530884,
4, 17, 0.9998811483383179,
15, 19, 0.9996552467346191,
11, 18, 0.9998582601547241,
10, 20, 0.9998841285705566,
3, 16, 0.9998133778572083,
7, 20, 0.999767005443573,
13, 20, 0.9998941421508789,
5, 23, 0.9998362064361572,
16, 18, 0.9998728036880493,
1, 17, 0.9998914003372192,
12, 15, 0.9998575448989868,
17, 20, 0.9990050196647644,
8, 21, 0.9998121857643127,
4, 18, 0.9991839528083801,
6, 19, 0.9995025396347046,
15, 20, 0.9997919201850891,
11, 19, 0.9971121549606323,
10, 21, 0.9998842477798462,
7, 21, 0.9997679591178894,
14, 18, 0.9805582165718079,
3, 17, 0.9998595714569092,
5, 24, 0.9995742440223694,
13, 21, 0.9998949766159058,
16, 19, 0.9998878240585327,
17, 21, 0.9991133809089661,
1, 18, 0.9998940229415894,
8, 22, 0.9998142123222351,
15, 21, 0.9996362924575806,
4, 19, 0.9992469549179077,
12, 16, 0.9999011754989624,
6, 20, 0.999745786190033,
11, 20, 0.9998188614845276,
5, 25, 0.9998103976249695,
10, 22, 0.9998076558113098,
13, 22, 0.9998795986175537,
7, 22, 0.9997642636299133,
14, 19, 0.9997947812080383,
3, 18, 0.9998750686645508,
16, 20, 0.999864935874939,
17, 22, 0.9998741149902344,
8, 23, 0.9998750686645508,
1, 19, 0.9998883008956909,
4, 20, 0.9991550445556641,
15, 22, 0.9998183846473694,
11, 21, 0.9998177886009216,
5, 26, 0.9998457431793213,
6, 21, 0.9997617602348328,
12, 17, 0.9998968839645386,
7, 23, 0.999864935874939,
10, 23, 0.9998193383216858,
13, 23, 0.9998352527618408,
14, 20, 0.9998072981834412,
17, 23, 0.9998236298561096,
16, 21, 0.9998726844787598,
3, 19, 0.9998856782913208,
1, 20, 0.9998914003372192,
8, 24, 0.9992376565933228,
15, 23, 0.9998082518577576,
4, 21, 0.9989194869995117,
6, 22, 0.999825656414032,
5, 27, 0.9997939467430115,
11, 22, 0.9998192191123962,
12, 18, 0.9999037981033325,
10, 24, 0.9998838901519775,
13, 24, 0.9998409748077393,
7, 24, 0.9998070597648621,
14, 21, 0.9998015761375427,
17, 24, 0.999487042427063,
16, 22, 0.9998762607574463,
15, 24, 0.9998007416725159,
8, 25, 0.99979168176651,
3, 20, 0.9998831748962402,
1, 21, 0.9998912811279297,
11, 23, 0.9997643828392029,
5, 28, 0.9995373487472534,
4, 22, 0.9998852014541626,
6, 23, 0.9990867376327515,
10, 25, 0.9998897314071655,
12, 19, 0.9999005794525146,
14, 22, 0.9997696280479431,
7, 25, 0.9998087286949158,
13, 25, 0.999889612197876,
17, 25, 0.9997686743736267,
16, 23, 0.9998893737792969,
15, 25, 0.999805748462677,
8, 26, 0.999880313873291,
5, 29, 0.9995269775390625,
11, 24, 0.9997202754020691,
3, 21, 0.9998674392700195,
4, 23, 0.9983999133110046,
10, 26, 0.9998871088027954,
1, 22, 0.9998406171798706,
14, 23, 0.9998769760131836,
6, 24, 0.9995115995407104,
7, 26, 0.9996227025985718,
13, 26, 0.9997574687004089,
12, 20, 0.999896764755249,
17, 26, 0.9997630715370178,
16, 24, 0.9998875856399536,
8, 27, 0.9997377991676331,
5, 30, 0.9996040463447571,
15, 26, 0.999625563621521,
14, 24, 0.9998703002929688,
11, 25, 0.9996521472930908,
10, 27, 0.9998880624771118,
1, 23, 0.9998747110366821,
4, 24, 0.9999024868011475,
