% # columns="iteration, evaluation, min max(neg(.)) min(pos(.)) max correlation, correlation matrix principle axes lengths  (sorted square roots of eigenvalues of correlation matrix)", seed=580217, Mon Oct  7 17:41:39 2019
46 598 -0.18153773548683694 -3.7584460409965178e-06 2.9309834410166887e-05 0.2104415491767698 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
47 611 -0.1882519086069225 -5.401413008807571e-05 3.261582018705203e-05 0.1937325193806918 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
48 624 -0.1935997892546685 -4.933900957328421e-05 8.002658205843576e-06 0.19241129463486545 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
49 637 -0.19509467676432457 -3.351658890961185e-06 2.689993843575484e-05 0.2268965472778885 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
50 650 -0.20012681006897776 -1.8886407441751828e-05 7.541390793293232e-05 0.23515037690740584 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
51 663 -0.20787876372865177 -0.00011064642135826395 2.0676471078228654e-05 0.22718206428869664 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
52 676 -0.24317067597198588 -3.614873753563602e-05 5.7284393738691454e-05 0.22355312046221953 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
53 689 -0.24126124306928617 -0.00012049118030819667 3.8161398372012884e-05 0.22335017803625973 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
54 702 -0.2485230399677364 -1.9487939574508614e-05 1.3945024271690726e-05 0.22509806636752402 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
55 715 -0.23940719589713874 -0.0003780604605422295 6.60514840855527e-05 0.22899758466224795 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
56 728 -0.25902684759275946 -9.677939578634477e-05 0.00021158607794924687 0.2437059806379486 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
57 741 -0.254766791274384 -0.00025618209064877666 0.0001027550917018942 0.2333556383897704 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
58 754 -0.2508953247504946 -0.0001378863642456289 1.951086879455694e-05 0.24468656926185137 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
59 767 -0.25286412058174745 -0.00014682509779480947 0.00013963033157958734 0.23671772187869355 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
60 780 -0.2579418903374021 -0.0003347039221888861 0.00014137766141000054 0.2279403675320502 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
61 793 -0.23916006857473324 -0.0002944875863666592 6.276046668490595e-05 0.223548917298863 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
62 806 -0.24883734323709472 -5.994249748218638e-05 2.155447564522866e-05 0.22837542234678956 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
63 819 -0.24639726981549584 -6.406900095858804e-05 5.999401121099996e-05 0.23668203878840832 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
64 832 -0.24485251698044455 -4.803207433674171e-05 2.80014904590046e-05 0.2341290869333677 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
65 845 -0.25270297310790774 -0.0001318495050314344 7.533627804532055e-06 0.22802309165714407 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
66 858 -0.2561316642342775 -1.097940168019722e-05 0.00020925852920278926 0.2289989451871898 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
67 871 -0.2654316226354049 -0.0002877861349263651 0.0001749993566943264 0.2431485364840731 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
68 884 -0.25962585431864804 -0.00010310602419814417 6.883046763920257e-05 0.23164268748933547 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
69 897 -0.264153763793136 -0.0001200402641544646 4.3339684912963706e-05 0.22836760572948187 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
70 910 -0.275181513204995 -7.036662270689875e-05 9.307203803385304e-05 0.2296654866744824 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
71 923 -0.2723194898123166 -3.097503070419407e-07 1.601413844098406e-05 0.22848647436374112 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
72 936 -0.27202687163385436 -6.999574497642442e-05 3.068724913163672e-05 0.23723001893576107 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
73 949 -0.2676026021034971 -1.8554829149235513e-05 1.1801754837162412e-05 0.24367341554289 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
74 962 -0.2404433723287858 -4.173529473367835e-05 0.0001416083207659293 0.23892280716976505 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
75 975 -0.2363416737065091 -6.247859277604958e-06 7.211712235280626e-05 0.2403681268617651 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
76 988 -0.24998771417203863 -1.2183153866382092e-05 1.9214895787901632e-05 0.2501416612069059 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
77 1001 -0.27214576230747456 -6.736484854643612e-05 5.1379723701368686e-05 0.22963418109046624 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
78 1014 -0.27037710657580555 -3.421066880431305e-05 1.203172067802095e-05 0.23071255880889513 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
79 1027 -0.27179373297586634 -0.00018833884788125663 4.953455172722707e-05 0.2418415925304512 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
80 1040 -0.274804099300969 -6.487331120686552e-05 6.727235107957556e-05 0.24494553668221875 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
81 1053 -0.2674796656049764 -0.00012232668044198183 4.814285986678288e-05 0.24758172119374527 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
82 1066 -0.2841879243329261 -6.294809668784167e-05 0.00016844564306523624 0.261639051925878 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
83 1079 -0.2851752225082475 -9.049824649119722e-05 8.140530881517718e-05 0.24804344607882386 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
84 1092 -0.29712621005915085 -0.00017960304849460587 9.89061980237607e-06 0.24985571045000762 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
85 1105 -0.2778305509702223 -1.8963286489687857e-05 0.00011113469188989426 0.2563141161409628 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
86 1118 -0.2992330351286623 -5.712402654466081e-05 8.35672459268991e-05 0.26391465718455026 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
87 1131 -0.29148909237354137 -0.000220417135409008 2.6949698819937683e-05 0.2663275568140757 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
88 1144 -0.2781517353079844 -2.3127709061365352e-05 1.6729487669400076e-05 0.263259061001097 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
89 1157 -0.2861408167067752 -3.963364511034735e-06 5.706258464086643e-05 0.26071669394789804 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
90 1170 -0.28195403938534486 -4.7585364463983454e-05 3.919186467401086e-05 0.25431335464157645 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
91 1183 -0.27757388135116146 -3.374370808767952e-05 1.8797374920573157e-07 0.2591023088689636 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
92 1196 -0.30586633527180723 -4.060118348748236e-05 0.00016090749397480345 0.2517622103550796 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
93 1209 -0.30088497445761814 -5.599470197369524e-05 0.00016738963933230286 0.25123418278380394 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
94 1222 -0.30328201908639263 -9.049197690690465e-05 0.00011931397608560034 0.24186917929715412 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
95 1235 -0.308902409156435 -2.7590684665081274e-05 8.3175851902583e-05 0.2454644509940785 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
96 1248 -0.31521402587613734 -4.776086887961619e-05 9.775544079534117e-05 0.24677576322923273 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
97 1261 -0.308726236932497 -0.0001908442465663295 9.25762896512566e-05 0.24473404457796807 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
98 1274 -0.2976517023775832 -0.00017612844318113362 0.0001580802301991729 0.23697434120579777 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
99 1287 -0.3018121455120617 -2.5249439801190426e-05 8.288248894392758e-05 0.23151121331147384 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
100 1300 -0.3048892678664779 -0.00015863883628016766 3.643014914802229e-05 0.23328362707385764 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
101 1313 -0.31423319025541974 -0.00018582875169532897 0.00015331194173060623 0.24587421426261688 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
102 1326 -0.31579825743564005 -0.00020315994383861697 1.1354757370262337e-05 0.2395328030137196 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
